Suggestions for improvement,cluster
"Cần đánh giá KPI khách quan và phân chia công việc chuyên nghiệp, match với khả năng, trình độ của nhân viên.",1
Nên nghiên cứu lại range lương của thì trường. Site Vietnam được mapping level khá thấp so với khu vực.,0
Do công ty làm outsourcing về mảng system nên thường sẽ nghe theo khách hàng nên sẽ khó có tính sáng tạo trong công việc,1
Need to forcus more on benefit and evaluate contribution of qualified employee,3
"- Phát triển văn phòng để rộng rãi hơn
- Công ty lớn nên 1 số quy trình còn phức tạp",2
Mua thêm bánh kẹo và nước ngọt để phục vụ đời sống nhân viên được tốt hơn,1
- Văn phòng rộng hơn tí thì sẽ thoải mái hơn nè còn lại thì ok lắm,2
"Số lượng nhân viên tăng dẫn tới văn phòng hơi chật, cần mở rộng thêm",2
Công việc và Sếp đều ổn nên không có gì hơn. Nếu có sẽ cập nhật tiếp.,1
"Up to now all of things so far so good and I think nothing to change
Notthing",3
- Cần cải thiện các phúc lợi và chính sách cho Intern và Fresher.,1
"Không thể cải thiện cái j cả, vì cty mẹ ở pháp quyết hết
Đổi thành ngày nghỉ, siết chặt, bè phái, xu nịnh qá nhìu",0
"benefit can cai thien
Process / Operation can cai thien",0
Nhiều chính sách về lương và career path không rõ ràng,1
"- The salary is lower than maker salary.
- High workload
The company don't have OT policy for project team and a lot of works.",3
"The worst thing here is about process - they need to improve this topic a lot, and 2nd thing is about salary when you compare with your work load . They also need to improve about the training
Cross culture but strong French culture
Technical guys could get the OT easily but not easy for other position",3
"process chua ro rang, nen improve de cong viec troi chay hon",3
"Lương thưởng chưa cao, công ty chuyên về cloud thích hợp với dân system hơn là dev",0
cơ hội làm việc với khách hàng và các đối tác nước ngoài,0
"Dự án công ty không quá hấp dẫn, tuy nhiên tình hình đang dần được cải thiện",1
"Dường như không có
Mọi thứ khá ổn
Vạch lá tìm sâu thì chắc có vài cái linh tinh",1
"Mong chính sách wfh quay lại
Có thêm nhiều buổi training workshop",1
"Phúc lợi bình thường
Chưa có nhiều chính sách đào tạo & phát triển nhân viên lâu dài",1
"Môi trường tương đối ổn định, nhưng làm lâu sẽ chán cho những ai muốn học hỏi những cái mới, nhiều challenge hơn. Benefit tạm ổn so với market nhưng review lương hên xui mức tăng hằng năm không đảm bảo và không nhiều.",0
Quy trình làm việc chậm và chưa rõ ràng mặc dù công ty đã 8 năm.,0
"Đôi lúc phải OT, tuy nhiên cũng không quá thường xuyên.",0
Cần rõ ràng hơn về career path cho nhân viên. Còn lại đều ổn.,1
"Văn phòng hơi chật chội nên nhiều lúc khá ồn. Sản phẩm nhiều lúc thay đổi quá nhanh, quy trình chưa ổn định, rõ ràng.",0
Công việc nhiều nên hay phải làm thêm nhưng chưa được thưởng nhiều.,2
Công việc nhiều nên hay phải làm thêm nhưng chưa được thưởng nhiều.,2
"càng ngày càng có xu hướng ép lương cực mạnh, chính sách bất cập, không có phụ cấp đi lại/ăn uống/điện thoại/máy tính cho sales. Tất cả phải tự lo và tự trang bị.
Deal lương 1 đằng sau lại tự đơn phương thay đổi (bảo chỉ giảm lương base và tăng commission, ảnh hưởng trực tiếp đến quyền lợi về BHXH, sao không nói thẳng từ đầu khi đưa offer). Chậm trễ trong việc tái kí hợp đồng",1
"Làm cả thứ 7
Có dự án mới thời gian làm việc hơi nhiều",0
"nên siết chặt hơn về giờ giấc làm việc, ví dụ thay vì có thể đến cty từ 7-10h sáng thì nên tập trung trước 8/9h sáng",0
Nên tạo cơ hội đào tạo nhiều skill hơn cho nhân viên (mua khóa học chẳng hạn),1
"-Vì công ty outsource nên nhiều lúc hơi nhàm chán.
-Review lương 1 năm 1 lần có người bằng lòng có người không.",0
"-Vì công ty outsource nên nhiều lúc hơi nhàm chán.
-Review lương 1 năm 1 lần có người bằng lòng có người không.",0
"Khá nhiều dự án outsource nên có thể gây nhàm chán.
Cần tổ chức thêm nhiều hoạt động giao lưu để tăng tính gắn kết giữa các thành viên trong công ty.",1
Cần có thêm các hoạt động giao lưu ngoài giờ để tăng tính kết nối các nhân viên.,1
"Công ty không có bãi giữ xe, phải tự tìm chỗ, gửi khá xa công ty.
Nhân sự (người nhà sếp) khá hách dịch. Một vài bạn gặp nhiều phiền phức về chuyện giấy tờ với chị này, đặc biệt khi xin nghỉ ở công ty.
Công ty chỉ có du lịch 1 lần/năm, không có team building, không có cđ nên cty hay phải vận động nv quyên tiền để tố chức ăn uống.
Các dự án đa phần là oursource với công nghệ cũ, làm lâu sẽ khó thay đổi môi trường. Một số dự án có tính số bug cho mỗi người.
Một số dự án OT rất nhiều và trong đó có thể không trả OT",0
"Công nghệ khá cũ, đôi khi gây nhàm chán. Rất ít khi team building",0
"Công nghệ khá cũ, đôi khi gây nhàm chán. Rất ít khi team building",0
"Văn phòng không đẹp, ghế hư quá nhiều mà không thay, ít phúc lợi.",2
"Phúc lợi cho nhân viên không có nhiều, ít có teambuilding hoặc các hoạt động giải trí.",1
"Nhiều dự án OT hơi nhiều,
Nhiều dự án code thủ công đúng chất outsource nên làm khá nhàm chán.
Bãi gửi xe quá dở.
Chỗ ăn buổi trưa vừa túi tiền khá ít.",0
"Ko có bãi xe nên phải gửi xe ở ngoài, vì là Q1 nên chắc cty nào cũng vậy.
Cơ sở vật chất ko dc tốt lắm, ghế thì hay hư, cả năm mới sửa, máy móc thì cũg tạm ổn.",2
"Ko có bãi xe nên phải gửi xe ở ngoài, vì là Q1 nên chắc cty nào cũng vậy.
Cơ sở vật chất ko dc tốt lắm, ghế thì hay hư, cả năm mới sửa, máy móc thì cũg tạm ổn.",2
"Là công ty outsource nên OT tương đối nhiều.
Mội trường làm việc hơi nghiêm túc",0
Công việc có đôi khi là rất áp lực từ khách hàng Nhật. Nhưng chắc ở cty nào cũng vậy thôi,0
"- có thêm các hoạt động bonding
- Văn phòng mới rộng hơn, có nhiều game thú vị hơn và có chỗ ngủ trưa thoải mái",2
"Văn phòng mới to hơn
Tuyển thêm nhân viên nữ =)))
Cải thiện các hoạt động ngoại khoá và gắn kết nhân viên",1
Do công ty còn non trẻ nên chưa hình thành văn hóa công ty rõ rệt. Các hoạt động ngoại khóa còn thiếu. Hy vọng tương lai khi đã đi vào ổn định sẽ được cải thiện.,0
"Ngoài HN nên tuyển thêm các bạn nữ cho sôi động, Có mỗi thế thôi, còn đâu mình thấy công ty mình điều kiện tốt, cơ hội học tập và phát triển cao.",2
"văn phòng to đẹp rộng rãi hơn, nhiều nhân viên nữ hơn =))))",2
I have no ideas for improvement as ANDPAD Vietnam is currently very good.,3
It would be beneficial if the company could provide clear growth opportunities and career path for senior employees who wish to specialize and advance in their technical skills.,3
"Cty có bài test đầu vào hỏi hơi nhiều về phần lý thuyết, cái này ai ko ôn lại thì fail từ vòng gửi xe, chưa có cơ hội show off skill luôn :))",0
Hiện tại chưa nghĩ ra. Giữ được như hiện tại cũng quá tốt rồi.,1
"Nên có nhiều hoạt động teambuilding, phúc lợi hơn cho cty",1
Mong năm sau sẽ có nhiều thành viên hơn để công ty ngày càng phát triển,1
